state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,17,Robert J. Olson,Robert,J.,Olson,NA,100,0,0,0,NA,State House District 17,Clark,003,1566661,male,1,1,0.9627650772766212,0.002046158161186535,0.00472349139565378,0.0012361254475383252,0.029229147719000096,0.9627650772766212,0.002046158161186535,0.00472349139565378,0.0012361254475383252,0.029229147719000096,White,White
NV,18,"Antario ""Tiger"" Brown",Antario,Tiger,Brown,NA,100,0,0,0,NA,State House District 18,Clark,003,64,male,0.97,1,0,1,0,0,0,0,1,0,0,0,Black,Non-White
NV,18,Venicia Considine,Venicia,NA,Considine,NA,200,1,0,0,NA,State House District 18,Clark,003,403,female,0.99,2,0.1388477556405195,0.031410557583261736,0.5734625537650215,0,0.25627913301119726,0.1388477556405195,0.031410557583261736,0.5734625537650215,0,0.25627913301119726,Hispanic,Non-White
NV,19,"Thaddeus ""Toby"" Yurek",Thaddeus,Toby,Yurek,NA,100,1,0,0,NA,State House District 19,Clark,003,5958,male,1,1,0.9718465032911174,0.003012039706642466,3.740609762752993e-4,0,0.02476739602596479,0.9718465032911174,0.003012039706642466,3.740609762752993e-4,0,0.02476739602596479,White,White
NV,20,David Orentlicher,David,NA,Orentlicher,NA,200,1,0,0,NA,State House District 20,Clark,003,3489607,male,1,2,0.29109953547386247,0.1821711551641008,0.3563564160449675,0.04111245168075921,0.12926044163631015,0.29109953547386247,0.1821711551641008,0.3563564160449675,0.04111245168075921,0.12926044163631015,Hispanic,Non-White
NV,20,Stan Vaughan,Stan,NA,Vaughan,NA,100,0,0,0,NA,State House District 20,Clark,003,81520,male,0.98,1,0.5807841940557462,0.1729599806226258,0.01340064710953397,0.04976169057004214,0.18309348764205186,0.5807841940557462,0.1729599806226258,0.01340064710953397,0.04976169057004214,0.18309348764205186,White,White
NV,21,April Arndt,April,NA,Arndt,NA,100,0,0,0,NA,State House District 21,Clark,003,145676,female,0.99,1,0.7647954353138501,0.012055491617676911,0.05307063640171155,0.028947486353473623,0.14113095031328773,0.7647954353138501,0.012055491617676911,0.05307063640171155,0.028947486353473623,0.14113095031328773,White,White
NV,21,Jon Petrick,Jon,NA,Petrick,NA,100,0,0,0,NA,State House District 21,Clark,003,300528,male,0.99,1,0.8365329585523777,0.002133635063228345,0.05069587523693456,0.025768520266594486,0.08486901088086489,0.8365329585523777,0.002133635063228345,0.05069587523693456,0.025768520266594486,0.08486901088086489,White,White
NV,21,Elaine Marzola,Elaine,NA,Marzola,NA,200,1,0,0,NA,State House District 21,Clark,003,248452,female,1,2,0.6468001863637002,0.014078479214611592,0.29437508814426017,0,0.044746246277428056,0.6468001863637002,0.014078479214611592,0.29437508814426017,0,0.044746246277428056,White,White
NV,22,Melissa Hardy,Melissa,NA,Hardy,NA,100,1,0,0,NA,State House District 22,Clark,003,645010,female,1,1,0.3475959507900196,0.2721951591588873,0.189769297249528,0.018053127960863145,0.17238646484070194,0.3475959507900196,0.2721951591588873,0.189769297249528,0.018053127960863145,0.17238646484070194,White,White
